First Name;Last Name;Role;Phone;OU;Street;ZIP/Postal Code;City;Country/Region;Password
Oleg;Sokolov;Overal;+7 (945) 966-34-58;Overal;Sovetskaya 13;655165;Chernogorsk;Russia;P@ssw0rd1
Ivan;Gavrilov;Manager;+7 (982) 958-25-41;Manager;Nekrasova 3;655157;Chernogorsk;Russia;P@ssw0rd1
Dmitry;Nechaev;Storage;+7 (943) 409-63-84;Storage;Rabochaya 55;655160;Chernogorsk;Russia;P@ssw0rd1
Ivan;Kurochkin;Overal;+7 (957) 790-79-49;Overal;Sadovaya 90;655151;Chernogorsk;Russia;P@ssw0rd1
Sergei;Astankin;Security;+7 (993) 679-43-97;Security;Chapaeva 2;655171;Chernogorsk;Russia;P@ssw0rd1
Anna;Fischteh;Manager;+7 (932) 810-35-67;Manager;Lineinaya 70;655153;Chernogorsk;Russia;P@ssw0rd1
Genadi;Borisov;Overal;+7 (949) 275-11-17;Overal;Entuziastov 20;655175;Chernogorsk;Russia;P@ssw0rd1
Evgeni;Posudin;Manager;+7 (997) 142-62-57;Manager;Pionerov 14;655154;Chernogorsk;Russia;P@ssw0rd1
Anastasia;Gorina;Supporter;+7 (934) 873-11-81;Supporter;Frunze 63;655158;Chernogorsk;Russia;P@ssw0rd1
Yulia;Lizina;Overal;+7 (964) 510-41-75;Overal;Mira 10;655172;Chernogorsk;Russia;P@ssw0rd1
Mihail;Nabokov;IT;+7 (900) 514-63-89;IT;Rozi Luxemburg 52;655169;Chernogorsk;Russia;P@ssw0rd1
Arina;Vasilieva;Overal;+7 (922) 887-37-15;Overal;Tchaikovskogo 31;655154;Chernogorsk;Russia;P@ssw0rd1
Irina;Schtern;Overal;+7 (923) 160-15-83;Overal;Sibiryakova 25;655160;Chernogorsk;Russia;P@ssw0rd1
Vadim;Stariev;Storage;+7 (967) 437-48-33;Storage;Surikova 11;655154;Chernogorsk;Russia;P@ssw0rd1
Olga;Kozhevnikova;Overal;+7 (946) 196-92-19;Overal;Bogdana Hmelnitskogo 44;655169;Chernogorsk;Russia;P@ssw0rd1
Pavel;Agarin;Overal;+7 (985) 535-82-24;Overal;Krasnih Partizan 53;655153;Chernogorsk;Russia;P@ssw0rd1
Boris;Melnikov;IT;+7 (960) 325-38-98;IT;Chkalova 21;655155;Chernogorsk;Russia;P@ssw0rd1
Maria;Slavina;Security;+7 (904) 663-44-44;Security;Schetinkina 40;655154;Chernogorsk;Russia;P@ssw0rd1
Alina;Nelubova;Overal;+7 (960) 990-32-14;Overal;Mendeleeva 33;655168;Chernogorsk;Russia;P@ssw0rd1
Ludmila;Nesterova;Manager;+7 (976) 247-91-72;Manager;Lineinaya 42;655165;Chernogorsk;Russia;P@ssw0rd1
Ivan;Gavrin;IT;+7 (990) 127-89-14;IT;Sovetskaya 15;655155;Chernogorsk;Russia;P@ssw0rd1
Kirill;Simonov;Manager;+7 (942) 100-19-29;Manager;Mira 50;655153;Chernogorsk;Russia;P@ssw0rd1
Albina;Schtrasse;Supporter;+7 (952) 450-19-27;Supporter;Chapaeva 61;655172;Chernogorsk;Russia;P@ssw0rd1
Sanchai;Hirgis;Manager;+7 (953) 379-83-45;Manager;Yubileinaya 17;655157;Chernogorsk;Russia;P@ssw0rd1
Alexei;Belousov;Overal;+7 (947) 964-51-98;Overal;Sadovaya 51;655160;Chernogorsk;Russia;P@ssw0rd1
Natalia;Mirolubova;Manager;+7 (960) 461-96-44;Manager;Sovetskaya 42;655154;Chernogorsk;Russia;P@ssw0rd1
Illia;Kostuchenko;Overal;+7 (999) 598-73-34;Overal;Lebedya 7;655150;Chernogorsk;Russia;P@ssw0rd1
